;CASE;SERIAL;QUESTNNR;MODE;STARTED;TIME;EE02;DD02_01;DD03;DD04_01;DD05;DD05_12;DD06_01;DD06_02;DD07;DD09;DD11;DD10_01;DD10_02;DD10_03;DD10_04;DD10_05;DD10_06;DD10_07;DD10_08;LP02_01;LP03_01;LP03_02;LP05;LP06_01;LP07_01;LP07_02;LP09;LP10_01;LP11_01;LP11_02;LP13;T102_01;T102_02;T102_03;T102_04;T103_01;T103_02;T103_03;T104_01;T104_02;T104_03;T104_04;T105_01;T105_02;T105_03;T106_01;T106_02;T106_03;T107_01;T107_02;T107_03;T107_04;T107_05;T107_06;T107_07;T108_01;T108_02;T108_03;T108_04;T108_05;T108_06;T108_07;T108_08;T108_09;KO01;EM02;EM03;FA02_01;FA02_02;FA02_03;FA02_04;FA02_05;FA02_06;FA02_07;FA02_08;FA02_09;FA02_10;FA02_11;FA02_12;FA02_13;FA02_14;FA02_15;FA02_16;FA02_17;FA02_18;FA02_19;FA02_20;FA02_21;FA02_22;FA02_23;FA02_24;FA02_25;FA02_26;FA02_27;FA02_28;FA02_29;FA02_30;FA02_31;FA02_32;FA02_33;FA02_34;FA02_35;FA02_36;FA02_37;PT02;PT03_01;PT04;PT05_01;PT06;PT07_01;AV02_01;AV02_02;AV02_03;AV02_04;AV02_05;AV03_01;AV03_02;AV03_03;AV03_04;AV03_05;AV04_01;AV04_02;AV04_03;AV05_01;AV05_02;AV05_03;AV05_04;AV06_01;AV06_02;AV06_03;AV07_01;AV07_02;AV07_03;AV07_04;AV09_01;AV09_02;AV09_03;AV10_01;AV10_02;AV10_03;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME;Feedback;Achtsamkeit;FinishT1;FinishT2;Finish18;Anzahl_LP_vollstaendig;Anzahl_LP_abends;dropout;goalt1;mott1;volt1;reft1;plant1;prot1;set1;goalt2;mott2;volt2;reft2;plant2;prot2;set2;chime1;chime2;chime3;chime4;chime5;chime6;chime7;chime8;chimeGesamt;EVLP;Feedback.Faktor
56;1357;NB497633;T1;interview;06.01.2021 13:59;T1;1;19;1;1;1;NA;LLTP;EW;9;2;2;6;1;5;1;6;4;5;5;09.02.2021;5;1;1,3;12.02.2021;5;3;1,7;18.02.2021;6;4;1,3;6;6;5;5;3;6;3;2;5;1;1;1;6;1;1;1;1;1;1;1;1;1;1;1;2;4;2;2;4;4;2;6;5;1;7;1;5;3;5;6;4;6;3;1;4;4;2;5;1;4;5;3;1;5;1;3;5;1;5;6;2;3;4;1;4;3;4;1;2;4;1;2;2;NA;NA;NA;NA;NA;NA;1;1;2;2;1;2;5;2;6;5;6;2;5;5;2;1;6;6;4;5;2;6;2;2;6;2;5;6;4;6;1;11;11;0;0;Jan 14;17;1;0;1;1;1;33;0;0;5,5;4;2,25;2,666666667;1;1;3,444444444;NA;NA;NA;NA;NA;NA;NA;4,2;4,5;3,25;2,2;1,833333333;1,75;4;4,8;3,316666667;NA;1
88;1412;BC191415;T1;interview;07.01.2021 13:40;T1;1;18;1;1;1;NA;LLTP;EW;10;2;2;5;3;5;1;2;3;5;4;15.02.2021;4;4;1,3;18.02.2021;5;4;2;09.02.2021;4;4;1,3;5;5;2;6;4;4;4;4;4;2;4;6;6;5;5;6;5;2;2;2;1;3;2;1;2;1;4;2;3;3;1;4;4;1;1;2;5;4;3;4;4;6;1;2;5;4;2;5;2;6;4;4;1;6;2;2;4;3;2;5;2;3;6;3;4;2;5;2;4;5;4;1;2;NA;NA;NA;NA;NA;NA;3;2;3;4;3;3;4;2;2;3;2;5;4;3;6;2;6;3;2;2;2;6;6;3;6;6;5;2;2;5;1;11;11;0;0;01. Dez;9;0;1;1;1;1;35;0;0;4,5;4;3,5;5,666666667;5,333333333;1,857142857;2,666666667;NA;NA;NA;NA;NA;NA;NA;4,8;5,25;3,25;2;2,5;2,75;3,75;4;3,5375;NA;0
47;1345;RH615392;T1;interview;06.01.2021 13:13;T1;1;24;2;1;1;NA;KW;LLTP;19;2;2;6;3;4;3;4;4;5;4;08.02.2021;5;4;1,3;09.02.2021;6;6;2,3;18.02.2021;4;5;1,3;4;5;4;5;3;4;2;3;4;3;2;3;5;2;2;2;2;5;6;5;5;5;5;5;6;6;6;4;6;6;3;4;6;1;8;2;2;4;3;2;4;2;6;3;4;2;2;5;2;2;3;4;3;6;5;3;4;5;5;3;2;4;2;4;5;1;5;3;1;3;4;4;6;NA;NA;NA;NA;NA;NA;4;2;5;2;4;3;5;5;2;5;4;3;4;2;1;2;5;3;4;4;1;5;1;1;5;2;3;3;3;5;1;11;11;0;0;Jan 52;43;0;1;1;1;1;32;1;0;4,5;3;3;3,333333333;2;5,142857143;5,222222222;NA;NA;NA;NA;NA;NA;NA;3,2;4;3,5;3,8;3;3;4;3,4;3,4875;NA;0
42;1338;NK367231;T1;interview;06.01.2021 11:52;T1;1;22;1;1;1;NA;EW;LLTP;18;2;2;4;2;5;1;5;2;3;3;09.02.2021;1;1;3;12.02.2021;5;6;2,7;18.02.2021;5;NA;1,3;6;5;5;5;1;1;2;1;1;1;1;2;6;2;2;2;1;4;5;5;4;6;3;2;1;1;1;1;1;1;1;1;1;2;7;1;5;1;1;1;4;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;6;2;1;1;2;1;1;1;5;1;1;2;1;1;1;1;NA;NA;NA;NA;NA;NA;5;1;4;4;5;1;6;6;1;6;5;4;5;3;2;5;5;4;4;6;1;5;2;1;5;5;6;6;5;5;1;11;11;1;1;Jan 91;71;1;0;1;1;1;31;1;0;5,25;1,333333333;1;3,333333333;1,666666667;4,142857143;1;NA;NA;NA;NA;NA;NA;NA;2,4;1;1,75;1;1;3,5;1,25;1;1,6125;NA;1
11;1206;XK242279;T1;interview;04.01.2021 17:13;T1;1;19;1;1;6;NA;LLTP;EW;8;1;2;5;2;4;1;4;3;5;5;NA;4;4;1,7;NA;4;4;1,7;NA;4;4;1,7;5;4;4;3;3;3;3;2;2;2;2;3;2;3;1;2;1;6;6;6;6;6;6;6;3;4;4;3;2;5;3;3;4;2;6;2;5;6;6;6;6;6;5;5;6;6;6;2;6;6;6;5;2;6;5;3;5;5;2;5;3;1;6;3;6;1;3;6;6;5;5;5;4;NA;NA;NA;NA;NA;NA;2;2;5;2;2;5;2;1;5;2;3;3;3;3;3;1;6;2;4;2;2;2;2;2;5;5;2;5;2;2;1;11;11;2;2;01. Feb;7;0;1;1;1;1;21;1;0;4;3;2;2,666666667;1,333333333;6;3,444444444;NA;NA;NA;NA;NA;NA;NA;5,6;5,75;2,75;5,6;4,166666667;4,25;4;5,4;4,689583333;NA;0
17;1213;XN198271;T1;interview;04.01.2021 17:51;T1;1;19;1;1;1;NA;Erziehungswissenschaft;LLTP;22;2;2;4;3;6;1;5;4;4;5;12.02.2021;6;6;1,7;18.02.2021;4;6;1,7;18.02.2021;5;5;1,7;5;4;5;6;2;5;3;3;6;3;5;5;5;5;4;5;4;3;5;3;3;6;4;4;2;4;2;4;4;3;2;4;4;1;6;1;5;4;5;3;4;4;3;2;5;3;4;3;2;5;4;4;3;5;3;3;6;2;5;3;5;2;3;4;3;2;4;4;3;5;4;3;4;NA;NA;NA;NA;NA;NA;3;4;3;3;5;1;4;2;2;4;4;4;4;5;5;2;5;6;5;5;4;3;2;2;5;5;5;6;4;6;1;11;11;0;0;0.8;13;1;0;1;1;1;19;5;0;5;3,333333333;4,25;5;4,333333333;4;3,222222222;NA;NA;NA;NA;NA;NA;NA;4,4;4,75;2,75;3,6;3,333333333;2,5;4;4;3,666666667;NA;1
78;1397;AN458214;T1;interview;07.01.2021 12:24;T1;1;21;1;1;7;NA;Erziehungswissenschaften ;Lehr-, Lern-, Trainingspsychologie;23;2;2;4;4;4;2;6;3;3;5;12.02.2021;4;4;2;15.02.2021;5;5;1,7;18.02.2021;4;5;1,7;6;4;4;5;5;6;4;3;5;2;4;4;4;4;2;2;2;4;4;5;3;6;4;4;4;4;3;4;5;5;2;5;4;1;1;1;5;3;5;5;5;4;2;4;6;6;5;5;3;6;6;4;2;6;3;3;6;1;4;6;2;3;6;3;4;3;3;4;4;6;5;4;4;NA;NA;NA;NA;NA;NA;5;2;5;4;4;4;6;3;2;4;5;5;5;3;4;2;6;5;5;6;4;5;4;4;5;6;5;6;6;6;1;11;11;0;0;0.83;1;1;0;1;1;1;32;1;0;4,75;5;3,5;4;2;4,285714286;4;NA;NA;NA;NA;NA;NA;NA;5,2;6;4;3,6;3,166666667;2,75;4,25;5;4,245833333;NA;1
130;1483;YA272536;T1;interview;08.01.2021 13:12;T1;1;21;1;1;1;NA;LLTP;Managment;14;2;2;5;4;5;4;5;4;4;5;18.02.2021;4;6;1,7;18.02.2021;5;6;2;09.02.2021;4;5;1,7;5;4;4;4;3;5;3;4;4;3;3;2;4;3;4;3;3;4;5;5;3;4;4;4;3;4;3;4;4;5;2;4;4;2;6;1;4;5;3;4;5;5;4;2;5;2;5;4;3;4;5;3;3;5;3;4;6;3;5;5;2;4;5;3;5;5;5;5;4;4;5;5;4;NA;NA;NA;NA;NA;NA;2;2;3;1;2;4;3;3;5;2;3;4;3;5;5;5;6;5;6;6;4;3;2;4;4;5;4;4;5;5;1;11;11;0;0;01. Jan;7;1;0;1;1;1;27;3;0;4,25;3,666666667;3,5;3;3,333333333;4,142857143;3,666666667;NA;NA;NA;NA;NA;NA;NA;4,4;5,25;3,25;4,8;2,833333333;3,75;4,75;4,4;4,179166667;NA;1
37;1328;ME862665;T1;interview;06.01.2021 11:15;T1;1;21;1;1;1;NA;Erziehungswissenschaft;LLTP;17;2;2;4;3;5;3;4;4;5;5;09.02.2021;5;6;2,3;12.02.2021;4;4;2;18.02.2021;5;6;1,7;5;5;3;4;4;5;4;5;3;3;4;5;4;5;5;4;6;2;3;3;2;3;2;2;4;5;4;5;4;5;4;4;5;1;7;2;5;5;4;5;4;6;4;5;5;5;4;4;3;5;5;4;1;6;4;4;5;3;6;5;5;4;4;4;5;3;5;4;2;5;5;4;5;NA;NA;NA;NA;NA;NA;1;1;2;2;2;3;5;5;2;5;2;3;4;4;6;3;6;4;4;4;5;5;1;4;5;5;4;5;4;6;1;11;11;0;0;0.77;3;0;1;1;1;1;25;0;0;4,25;4,333333333;3,75;4,666666667;5;2,428571429;4,444444444;NA;NA;NA;NA;NA;NA;NA;4,8;5;3,5;4,2;4,166666667;3;5,25;5;4,364583333;NA;0
89;1416;BA355797;T1;interview;07.01.2021 13:52;T1;1;22;1;1;1;NA;LLTP;Erziehungswissenschaften;21;2;1;2;2;4;1;3;3;4;5;12.02.2021;5;6;2,3;15.02.2021;6;6;2;18.02.2021;4;6;1,7;5;3;5;3;4;6;4;3;5;2;2;2;5;2;2;2;2;2;5;3;2;3;2;2;3;3;1;3;4;4;1;4;5;1;1;1;4;4;5;3;4;5;2;2;3;4;2;4;2;5;4;3;2;4;3;3;5;3;5;5;2;2;4;3;2;3;4;3;3;4;4;2;3;NA;NA;NA;NA;NA;NA;5;2;4;3;2;1;4;5;1;5;4;3;5;3;2;2;6;4;5;5;3;4;2;1;4;6;4;6;4;5;1;11;11;0;0;0.8;1;1;0;1;1;1;33;0;0;4;4,666666667;3;3;2;2,714285714;3,111111111;NA;NA;NA;NA;NA;NA;NA;3,8;4;3;2,6;2,5;3;4;4,4;3,4125;NA;1
