CASE;SERIAL;QUESTNNR;MODE;STARTED;LZ02_01;LZ03_01;LZ04_01;ZE02_01;ZE03_01;PL01_01;PL02_01;SM02_01;SM02_02;SM02_03;SE01_03;TE_Bel_1;TE_Bel_2;TE_Bel_3;TE_Bel_4;TE_Bel_5;TE_Bel_6;TE03_01;TE04_01;TE05_01;TE06_01;TE07_01;TE08_01;TE09_01;TE10_01;TE11_01;TE12_01;TE13_01;TE14_01;TE15_01;TE16;ZG01_CP;ZG01;ZG02_CP;ZG02;ZG03_CP;ZG03;ZG04_CP;ZG04;ZG05_CP;ZG05;AI01_pts;AI01_rgs;AI01_01;AI02_01;AI06_01;AI12_01;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME015;TIME016;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
1568;ET745775;TA01;interview;11.01.2021 07:50;"- alle Vorlesungen schaffen, die auf dem Plan stehen
- Karteikarten schreiben 
- für Entwicklungspsychologie diese auswendig lernen (für V 1-4)";5;4;3h;4h;4;#NAME?;5;4;3;5;4;3;1;2;1;1;5;3h;5;5;1;5;4;5;4;-1;Mehr Konzentration und Fokussierung beim Lernen.;4;4;1;7;7;2;7;18;3;;;8;1;;;;;;;15;83;178;17;8;44424;5;28;34;29;53;10;;;;460;11.01.2021 06:00;11.01.2021 20:18;0;0;12;12;0;0;0.72;1
1570;FY246884;TA01;interview;11.01.2021 07:53;"- meine Hausarbeit fertig schreiben (1/3 Seite fehlt noch)
- Vorlesungen mitverfolgen und ausarbeiten
- beginnen zu lernen";5;5;4h;3h 30min;6;"- wenn ich den nicht schaffen sollte -> kein Problem!!! Morgen ist auch noch ein Tag.
- nicht in Stress verfallen, ich schaffe das schon!!!";5;6;4;6;5;4;1;2;1;1;5;3h;3h;5;1;6;6;5;4;6;Morgen ist auch noch ein Tag und was heute nicht geschafft wurde, kann bis morgen warten. Mach dir keinen Stress und setze dich nicht unter Druck!;4;4;1;7;7;2;4;4;4;0;5;2;7;;;;;;;21;94;148;20;7;29671;16;22;57;32;83;92;115;;8;622;11.01.2021 06:00;11.01.2021 16:20;1;0;16;16;0;0;0.61;2
1571;MB259846;TA01;interview;11.01.2021 07:58; ein Thema Erziehungswissenschaften oder Entwicklungspsychologie lernen;5;4;4h;3,5h;6;"Vorlesung Entwicklungspsychologie bearbeiten, 
Fragerunde Entwicklungspsychologie teilnehmen, 
Tutorium Statistik, 
Text für Seminar lesen,
 Lernen";5;4;2;4;3;4;1;3;1;3;5;2h;6h;5;1;6;4;5;4;5;Weiterhin am Ball bleiben, aber nicht so stark in Stress verfallen. Immer Pausen und Auszeiten machen.;4;5;1;7;1;2;6;13;6;6;1;5;3;;;;;;;10;76;162;14;6;37199;8;46;65;38;75;16;161;;4;681;11.01.2021 06:00;11.01.2021 18:30;1;0;16;16;0;0;0.67;0
1578;GK718459;TA01;interview;11.01.2021 08:11;Zwei für heute anstehende Vorlesungen bearbeiten und zwei weitere Vorlesungen nachholen.;5;3;0h 0min;4h 30min;4;Vorlesungen: Forschungsmethoden und Entwicklungspsychologie der Kindheit nachholen, Allgemeine Sonderpädagogik und Entwicklungspsychologie der Kindheit anfangen/bearbeiten.;3;3;1;3;5;1;1;1;1;1;5;0h 0min;5h;6;4;5;5;5;3;-1;mehr konsequent zu arbeiten;4;5;1;9;6;2;4;12;1;6;6;5;5;;;;;;;24;95;263;33;16;34761;26;27;93;58;170;36;1381;;21;859;11.01.2021 06:00;11.01.2021 18:28;1;0;16;16;0;0;0.33;0
1579;YN129325;TA01;interview;11.01.2021 08:12;"- 2 Übungsaufgaben in Einfürhrung in EW bearbeiten
- 2 Übungsaufgaben in Statistik bearbeiten
- Zsammenfassung für die erste Vorlesung Einführung in EW schreiben
- Zusammenfassung Grundlagen EW ausformulieren
- Seminar Kognition besuchen";5;4;1h 30 min;4h;6;"12 -13 Uhr: Zusammenfassung 1 Vorlesung EW 
13.30 - 14.30 Uhr: Übungsaufgaben EW
14.30 - 15.30 Uhr: Übungen Statistik
15.30 - 16 Uhr: Grundlagen EW Dingsbums ausformuliren
16.15 bis 17.45: Seminar Kognition";4;5;3;5;4;2;4;2;1;1;5;1h 30 min;4h;6;1;5;5;4;3;-1;Spanisch HA machen, Statistik zusammenfassen, joggen gehen, EW zusammenfassen;4;5;1;9;6;;;2;7;14;7;11;3;;;;;;;31;12466;282;23;7;;18;45931;35;34;88;18;162;;3;777;11.01.2021 06:00;12.01.2021 00:37;1;0;16;16;0;0;0.51;0
1580;LP893358;TA01;interview;11.01.2021 08:17;die Vorlesung von dieser und nächster Woche in Entwicklungspsychologie durcharbeiten;6;4;3h;6h;4;Ich will die zwei Vorlesungen in Entwicklungspsychologie durcharbeiten und gleich auf Karteikarten notieren. Wenn das nicht allzu lange dauert, will ich noch eine Vorlesung vom Anfang des Semesters auf Karteikarten shcfeiben.;6;3;5;6;6;2;1;1;1;1;5;1h 30min;6h;6;1;5;6;5;3;-1;Vor Pädagogische Hauptepochen duschen gehen, danach direkt Statistik und dann noch eine Vorlesung Entwicklungspsychologie auf Karteikarten;3;1;1;9;2;2;6;21;6;13;5;9;7;;;;;;;18;61;166;13;7;49895;38;43;31;30;112;10;163;;4;664;11.01.2021 06:00;11.01.2021 22:20;1;0;16;16;0;0;0.66;0
1582;AK891341;TA01;interview;11.01.2021 08:24;Alle Vorlesungen gründlich anhören und Lernzettel zu diesen machen;5;4;1 h 30 min;6 h;4;"8:40-12 Entwicklungsspychologie (mit Frühstückspause)
12:30- 14 ESE 
14-16 allgemeine Sonderpädagogik
16:15-17:45 Statistik TUT
danach noch alles, was ich nicht fertig bekommen habe";3;3;5;2;5;1;1;2;3;2;2;1h 30 min;6h;1;4;3;4;2;2;-1;Kozentrierter Arbeiten und weniger auf WhatsApp sein;3;4;1;9;4;2;4;21;3;14;5;10;1;;;;;;;8;60;238;28;7;54315;262;30;35;29;99;10;173;;2;725;11.01.2021 06:00;11.01.2021 23:46;1;0;16;16;0;0;0.7;2
1583;GS366714;TA01;interview;11.01.2021 08:26;"Kindheitspsych. 8-10
Kunstgeschichte 10-12 
1 Seite Hausarbeit 13-14
Kunstgeschichte 14-16 (Währenddessen Malereiauftrag)
Wiederholung 1. Vorlesung Kindheitspsychologie (16-...)";6;5;6;3;6;Siehe erste seite;5;5;5;4;4;4;1;1;1;3;6;5h;1h 30min;5;2;4;5;6;6;6;bis 18 uhr uni;4;5;1;9;7;2;6;8;3;11;5;8;5;;;;;;;28;141;94;20;11;30598;12043;49;78;44;75;498;188;;4;742;11.01.2021 06:00;11.01.2021 20:37;1;0;16;16;0;0;0.48;0
1584;NV617537;TA01;interview;11.01.2021 08:27;#NAME?;6;4;0;5;4;"Vormittags:
- mind. 1 Vorlesung nachholen
- Fortsetzung Lernen
- Sport
Nachmittags:
- restliche Volesungen nachholen 
- Wiederholung der Lerninhalte ";5;5;3;4;5;1;1;4;1;1;2;0;6;2;3;4;3;3;2;5;#NAME?;2;6;1;10;3;2;2;14;5;8;2;6;3;;;;;;;98;116;137;19;6;37386;11;22;18;26;92;11;146;;2;612;11.01.2021 06:00;11.01.2021 19:02;1;0;16;16;0;0;0.79;5
1585;YC888437;TA01;interview;11.01.2021 08:27;Ich will meine heutigen Vorlesungen bearbeiten und auch gleich vertiefen.;6;2;4h;2h;6;Als erstes werde ich die erste Vorlesung bearbeiten und vertiefen. Dann eine kleine Pause machen und zur nächsten Vorlesung kommen. ;6;6;1;6;3;2;1;1;1;1;6;3,5h;2h;6;1;5;6;6;4;5;Vorlesungen bearbeiten ;3;3;1;10;4;2;6;4;4;0;1;3;1;;;;;;;9;57;109;13;6;29294;8;46;36;27;96;12;205;;4;628;11.01.2021 06:00;11.01.2021 16:46;1;0;16;16;0;0;0.74;0
1586;QT273771;TA01;interview;11.01.2021 08:28;"Zusammenfassung ""Einführung in die EW"" weitermachen - 3 Vorlesungen

Statistik nachholen";4;5;0;4;6;"-Vorlesungen Lüders 3-5 anhören und Zusammenfassung vervollständigen
-Statistik nachholen und versuchen selbst beizubringen";5;5;2;5;5;1;1;4;1;1;5;0;3h 30min;3;5;6;4;5;4;5;Früher anfangen.;3;5;1;10;4;3;3;4;1;9;1;8;4;;;;;;;141;659;203;17;15;28792;10265;47;80;46;77;22;171;;4;750;11.01.2021 06:00;11.01.2021 19:44;1;0;16;16;0;0;0.42;0
1587;AW495873;TA01;interview;11.01.2021 08:29;"Vorlesung durcharbeiten:
1x Statistik
1x Entwicklungspsychologie der Kindheit";5;4;1h 30min;3h;1;Zeiten einhalten wegen Besichtigungstermin;2;3;6;2;2;4;1;3;1;2;2;1h;30 min;-1;6;3;2;1;1;1;Seminaraufgabe erledigen ;2;2;1;10;5;2;7;22;5;14;7;11;4;;;;;;;66;133;190;18;7;55292;17;18;36;32;70;13;176;;3;719;11.01.2021 06:00;12.01.2021 00:03;1;0;16;16;0;0;0.65;0
1588;PN821564;TA01;interview;11.01.2021 08:33;#NAME?;5;3;0;3 h;3;ab 11 Uhr Statistik 1h 30 Min, danach 30 min Pause und ab 13 Uhr Vorbereitung für die Klausuren;2;2;6;2;3;1;1;4;6;1;2;0;1h;2;5;4;3;2;2;-1;Ich nehme mir morgen vor, das zu erledigen was ich heute aus krankheitsbedingten Gründen nicht geschafft habe und morgen einen produktiven und lernreichen Tag zu haben. ;2;5;1;10;1;6;2;8;7;3;3;4;1;;;;;;;3102;67;145;14;7;27046;11;18;22;22;108;86;70;10;4;508;11.01.2021 06:00;11.01.2021 17:06;1;0;16;16;3;1;0.86;8
1589;BC191415;TA01;interview;11.01.2021 08:34;"- Vorlesung Entwicklungspsychologie
- Seminar Grundbegriffe der EW 
- 2 Vorlesungen EW Forschung
- Aufgabenblatt EW Forschung";4;4;1h 30min;8h;3;"Vormittags: Seminar und V Entwicklungspsychologie anfangen
Nachmittags- Abends: Rest";4;3;4;2;2;4;1;1;1;1;2;1h 30min;5h 30min;-1;2;4;4;2;4;4;Mir weniger vorzunehmen und effektiver sein;4;5;1;10;6;2;7;19;3;12;7;9;2;;;;;;;13;139;138;13;6;45180;8;46;74;32;69;60;169;;6;717;11.01.2021 06:00;11.01.2021 21:20;1;0;16;16;0;0;0.62;0
1591;BS791494;TA01;interview;11.01.2021 08:37;#NAME?;5;4;2h ;4h;4;"9 Uhr - 11 Uhr: Entwicklungspsych 
11 Uhr: Statistik lesen
12 - 13 Uhr: FoMeth anfangen 
Mittagessen 
14 Uhr: zur Uni fahren und drucken
17 Uhr - 18.30: entweder FoMeth beenden oder mit EW anfangen
Feierabend
";4;3;4;5;4;1;1;1;1;1;5;0h;5h;1;1;3;3;3;6;-1;Den Tag früh genug zu beginnen.;2;4;1;11;1;4;2;8;3;3;7;4;1;;;;;;;12;158;296;16;8;31052;65;19;43;33;52;17;170;;2;832;11.01.2021 06:00;11.01.2021 17:30;1;0;16;16;0;0;0.68;2
1594;PW785611;TA01;interview;11.01.2021 08:46;"an Veranstaltungen teilnehmen + Vorbereitung:
- Tutorium für ""Einführung in die erziehungswissenschaftlichen Forschungsmethoden"" 
- Seminar ""Grundbegriffe der Erziehungswissenschaft"" Textlesen und texterschließende Fragen bearbeiten

Prüfungsvorbereitung:
- aus Vorlesung ""Forschungsmethoden"" Überblick verschaffen, wichtige Begriffe zusammentragen und definieren";5;3;3h;3h;4;"Frühstück + Text für Grundbegriffe lesen
10.15-11.45 : Tutorium Forschungsmethoden
Mittagessen + texterschließende Fragen bearbeiten
14.15-15.45: Seminar Grundbegriffe
Putzen
17.00-19.00: Prüfungsvorbereitung Forschungsmethoden
Einkaufen";5;2;6;3;6;4;5;1;1;2;4;1h 30min;3h;2;5;6;5;4;3;5;Prüfungsvorbereitung durchziehen!;6;6;1;11;2;4;2;16;6;9;7;7;7;;;;;;;19;397;364;21;9;37329;76;60;50;32;47;21;166;;3;532;11.01.2021 06:00;11.01.2021 19:29;1;0;16;16;0;0;0.53;0
1595;UX896743;TA01;interview;11.01.2021 08:50;#NAME?;6;5;4h;4h;4;-;5;5;3;5;4;3;1;1;1;1;4;4h;3h;4;2;4;4;5;2;-1;#NAME?;2;2;1;11;4;4;1;18;2;11;2;9;1;;;;;;Ich habe heute schon eine Achtsamkeitsübung und Meditation gemacht;14;29;78;18;7;42306;8;18;18;29;44;12;58;47;3;383;11.01.2021 06:00;11.01.2021 20:42;1;0;16;16;0;0;01. Jun;13
1596;PK111235;TA01;interview;11.01.2021 08:53;"Statistik nachholen 
StaatsOrgR zusammenfassen 
Fall bearbeiten im ÖffR";4;5;1 h 45 min ;5 h ;3;"Morgens: Uni,   Erledigungen 
Mittags: Uni, Sport
Abends: Entspannen ";4;4;2;3;;;;;;;;;;;;;;;;;;;;;11;3;4;3;;;;;;;;;;;;;23;56;138;15;6;;;;;;;;;;;238;11.01.2021 06:00;11.01.2021 08:57;0;0;5;5;0;0;0.73;0
1598;EP831244;TA01;interview;11.01.2021 08:56;#NAME?;5;6;0;4h30min;4;#NAME?;4;3;5;4;6;1;1;2;2;1;4;0;5h30min;5;1;6;5;4;5;-1;#NAME?;4;2;1;11;1;4;5;14;5;8;2;7;5;;;;;;Ich fühle mich heute nicht gut und mir fällt es schwer runterzufahren. Ich bin die ganze Zeit unter Strom und möchte noch was für die Uni machen, mache jetzt aber den Lernplaner damit ich ihn später nicht vergesse.;8;78;121;24;10;35853;16;38;56;39;183;6;15;101;4;475;11.01.2021 06:00;11.01.2021 19:05;1;0;16;16;0;0;0.72;36
