"";"SERIAL";"Feedback";"TIME";"GOAL"
"1";"UL113513";0;"goalt1";3,75
"2";"UB531682";0;"goalt1";3,25
"3";"VN755488";1;"goalt1";3,75
"4";"UR157297";0;"goalt1";4
"5";"UX896743";0;"goalt1";4
"6";"UY881832";0;"goalt1";4
"7";"VB488197";0;"goalt1";4,5
"8";"VR815563";1;"goalt1";4
"9";"YN129325";0;"goalt1";5
"10";"YF233344";0;"goalt1";5,25
"11";"XK242279";0;"goalt1";4
"12";"XG496891";0;"goalt1";2,75
"13";"XB482288";0;"goalt1";5,5
"14";"XK292543";1;"goalt1";4,75
"15";"XY216464";0;"goalt1";4,75
"16";"XS659581";0;"goalt1";4,25
"17";"XN198271";1;"goalt1";5
"18";"YE632525";1;"goalt1";4,25
"19";"VU521743";1;"goalt1";4
"20";"XP544262";1;"goalt1";5
"21";"YM644361";0;"goalt1";3,25
"22";"PQ466859";0;"goalt1";4
"23";"VX588246";1;"goalt1";5
"24";"YC888437";0;"goalt1";5,5
"25";"YR389785";1;"goalt1";4,25
"26";"VY624531";1;"goalt1";3
"27";"XY662821";0;"goalt1";4,25
"28";"YL695788";1;"goalt1";5,5
"29";"XZ767591";1;"goalt1";4
"30";"MG848757";0;"goalt1";5,75
"31";"PH647245";0;"goalt1";4,5
"32";"XV615413";1;"goalt1";4,5
"33";"PK111235";0;"goalt1";3,5
"34";"PW785611";0;"goalt1";4,25
"35";"NM384333";0;"goalt1";3,75
"36";"PN821564";0;"goalt1";4
"37";"ME862665";0;"goalt1";4,25
"38";"QR394599";1;"goalt1";3,5
"39";"PY946565";1;"goalt1";5,25
"40";"PK497634";1;"goalt1";5,25
"41";"PY378998";1;"goalt1";4,75
"42";"NK367231";1;"goalt1";5,25
"43";"VZ398246";1;"goalt1";4,75
"44";"ME363698";1;"goalt1";3,5
"45";"NV651396";1;"goalt1";4,5
"46";"WC754144";1;"goalt1";5,75
"47";"RH615392";0;"goalt1";4,5
"48";"RQ233693";0;"goalt1";4
"49";"RT652696";0;"goalt1";3,75
"50";"PY333941";0;"goalt1";2,25
"51";"RV452633";0;"goalt1";1,75
"52";"SR175276";1;"goalt1";2,25
"53";"XV917984";1;"goalt1";4,75
"54";"SS198481";1;"goalt1";3,75
"55";"SW218242";1;"goalt1";4,5
"56";"NB497633";1;"goalt1";5,5
"57";"PA298545";1;"goalt1";3,5
"58";"ME637726";1;"goalt1";5
"59";"RW164757";0;"goalt1";4,75
"60";"TB885956";1;"goalt1";4,25
"61";"TC332594";1;"goalt1";3,5
"62";"SE522452";0;"goalt1";4,5
"63";"TC633551";1;"goalt1";4,5
"64";"YC186467";1;"goalt1";4,5
"65";"VC376826";0;"goalt1";5,75
"66";"RA581334";1;"goalt1";4,25
"67";"SE762113";0;"goalt1";4,25
"68";"TG784124";1;"goalt1";4
"69";"AN652227";0;"goalt1";2,5
"70";"AH561571";0;"goalt1";3,5
"71";"BX289155";0;"goalt1";2,75
"72";"AW495873";0;"goalt1";5,5
"73";"BS791494";0;"goalt1";2,75
"74";"AT424766";0;"goalt1";4,25
"75";"CF824211";1;"goalt1";4,25
"76";"SM631877";0;"goalt1";4
"77";"AE814737";1;"goalt1";5,75
"78";"AN458214";1;"goalt1";4,75
"79";"BG864843";1;"goalt1";3,25
"80";"ET745775";0;"goalt1";4
"81";"FH839757";0;"goalt1";2,75
"82";"EP831244";0;"goalt1";5,25
"83";"FL248294";0;"goalt1";3
"84";"AP844344";1;"goalt1";4,25
"85";"AA223798";1;"goalt1";3,75
"86";"DT637117";0;"goalt1";3,5
"87";"VK722412";0;"goalt1";3,75
"88";"BC191415";0;"goalt1";4,5
"89";"BA355797";1;"goalt1";4
"90";"AZ588774";0;"goalt1";4
"91";"DU868473";1;"goalt1";3,75
"92";"EL742586";1;"goalt1";4
"93";"DA181897";0;"goalt1";3
"94";"DC443849";0;"goalt1";3,25
"95";"AK891341";0;"goalt1";3,75
"96";"WG879246";1;"goalt1";3,5
"97";"NV617537";0;"goalt1";3
"98";"EE558756";1;"goalt1";4
"99";"CU525786";1;"goalt1";4,5
"100";"EC159212";1;"goalt1";4
"101";"AY454349";1;"goalt1";2,5
"102";"BF819292";1;"goalt1";4,75
"103";"QT273771";0;"goalt1";4,75
"104";"EK319924";1;"goalt1";4,75
"105";"CV988215";1;"goalt1";5,5
"106";"NK144173";0;"goalt1";3,25
"107";"BV722553";0;"goalt1";2,5
"108";"FK136917";1;"goalt1";3,5
"109";"SN429438";0;"goalt1";3,5
"110";"GK826951";0;"goalt1";3,5
"111";"FL569837";0;"goalt1";2
"112";"FY246884";0;"goalt1";4
"113";"HQ159989";0;"goalt1";2,5
"114";"GK718459";0;"goalt1";4
"115";"DM159531";0;"goalt1";4,25
"116";"FL283383";1;"goalt1";4,75
"117";"HA634253";1;"goalt1";3,5
"118";"FX545495";1;"goalt1";4,75
"119";"GD335178";1;"goalt1";5
"120";"CZ836922";1;"goalt1";3,25
"121";"HS785464";0;"goalt1";2,5
"122";"AT973973";1;"goalt1";4,25
"123";"WN633269";1;"goalt1";3
"124";"PZ846199";0;"goalt1";5,25
"125";"SP553518";0;"goalt1";4,75
