;SERIAL;Feedback;TIME;ZEIT;GOAL;gmc_GOALt1
1149;LP893358;0;LP_T9;TE03_01;4;
1150;NB497633;1;LP_T9;TE03_01;6;
1151;XK292543;1;LP_T9;TE03_01;4;
1152;RA581334;1;LP_T9;TE03_01;6;
1153;XY216464;0;LP_T9;TE03_01;6;
1154;UY881832;0;LP_T9;TE03_01;2;
1155;PY946565;1;LP_T9;TE03_01;6;
1156;YM644361;0;LP_T9;TE03_01;5;
1157;KV214531;1;LP_T9;TE03_01;4;
1158;MB259846;0;LP_T9;TE03_01;6;
1159;SW218242;1;LP_T9;TE03_01;6;
1160;UR157297;0;LP_T9;TE03_01;3;
1161;EE558756;1;LP_T9;TE03_01;5;
1162;KZ379721;1;LP_T9;TE03_01;5;
1163;BC191415;0;LP_T9;TE03_01;5;
1164;GK718459;0;LP_T9;TE03_01;5;
1165;EK319924;1;LP_T9;TE03_01;6;
1166;YC888437;0;LP_T9;TE03_01;6;
1167;ZT573312;0;LP_T9;TE03_01;5;
1168;NV617537;0;LP_T9;TE03_01;3;
1169;BF819292;1;LP_T9;TE03_01;6;
1170;XS659581;0;LP_T9;TE03_01;6;
1171;YN129325;0;LP_T9;TE03_01;6;
1172;PK111235;0;LP_T9;TE03_01;4;
1173;EC159212;1;LP_T9;TE03_01;4;
1174;XY662821;0;LP_T9;TE03_01;4;
1175;NK144173;0;LP_T9;TE03_01;5;
1176;GD335178;1;LP_T9;TE03_01;6;
1177;TG784124;1;LP_T9;TE03_01;4;
1179;BS791494;0;LP_T9;TE03_01;5;
1180;WG879246;1;LP_T9;TE03_01;3;
1181;VB488197;0;LP_T9;TE03_01;5;
1182;DU868473;1;LP_T9;TE03_01;5;
1183;DT637117;0;LP_T9;TE03_01;6;
1184;LH578194;1;LP_T9;TE03_01;5;
1185;LF961829;0;LP_T9;TE03_01;5;
1186;PZ846199;0;LP_T9;TE03_01;6;
1187;LC333483;0;LP_T9;TE03_01;6;
1188;CU525786;1;LP_T9;TE03_01;6;
1189;EL742586;1;LP_T9;TE03_01;6;
1190;AA223798;1;LP_T9;TE03_01;6;
1191;QT273771;0;LP_T9;TE03_01;4;
1192;VR815563;1;LP_T9;TE03_01;6;
1193;UL113513;0;LP_T9;TE03_01;5;
1194;YL695788;1;LP_T9;TE03_01;6;
1195;AK891341;0;LP_T9;TE03_01;4;
1196;FY246884;0;LP_T9;TE03_01;6;
1197;EP831244;0;LP_T9;TE03_01;4;
1198;FH839757;0;LP_T9;TE03_01;4;
1199;HD353817;1;LP_T9;TE03_01;6;
1200;NK367231;1;LP_T9;TE03_01;5;
1201;YE632525;1;LP_T9;TE03_01;5;
1202;VN755488;1;LP_T9;TE03_01;4;
1203;VZ398246;1;LP_T9;TE03_01;2;
1204;RH615392;0;LP_T9;TE03_01;6;
1205;DM159531;0;LP_T9;TE03_01;6;
1206;YC186467;1;LP_T9;TE03_01;5;
1207;BA355797;1;LP_T9;TE03_01;4;
1208;DZ883544;1;LP_T9;TE03_01;5;
1209;ET745775;0;LP_T9;TE03_01;4;
1210;FL248294;0;LP_T9;TE03_01;3;
1211;RW164757;0;LP_T9;TE03_01;6;
1212;UX896743;0;LP_T9;TE03_01;5;
1213;CZ836922;1;LP_T9;TE03_01;5;
1214;PK497634;1;LP_T9;TE03_01;6;
1215;FK136917;1;LP_T9;TE03_01;6;
1216;BX289155;0;LP_T9;TE03_01;6;
1217;RQ233693;0;LP_T9;TE03_01;5;
1218;AP844344;1;LP_T9;TE03_01;5;
1219;LB318186;0;LP_T9;TE03_01;6;
1220;SE762113;0;LP_T9;TE03_01;4;
1221;AN458214;1;LP_T9;TE03_01;6;
1222;SS198481;1;LP_T9;TE03_01;3;
1223;ZV438183;1;LP_T9;TE03_01;4;
1224;FL283383;1;LP_T9;TE03_01;6;
1225;FX545495;1;LP_T9;TE03_01;6;
1226;BG864843;1;LP_T9;TE03_01;6;
1227;ME862665;0;LP_T9;TE03_01;5;
1228;AT424766;0;LP_T9;TE03_01;5;
1229;FE929218;0;LP_T9;TE03_01;5;
1230;YW953985;1;LP_T9;TE03_01;4;
1231;PN821564;0;LP_T9;TE03_01;2;
1232;AE814737;1;LP_T9;TE03_01;5;
1233;PQ466859;0;LP_T9;TE03_01;3;
1234;QR394599;1;LP_T9;TE03_01;6;
1235;HA634253;1;LP_T9;TE03_01;2;
1236;XV615413;1;LP_T9;TE03_01;6;
1237;VY624531;1;LP_T9;TE03_01;6;
1238;TC633551;1;LP_T9;TE03_01;5;
1239;YA272536;1;LP_T9;TE03_01;1;
1240;HQ159989;0;LP_T9;TE03_01;6;
1241;DC443849;0;LP_T9;TE03_01;5;
1242;AY454349;1;LP_T9;TE03_01;5;
1243;LQ366462;1;LP_T9;TE03_01;4;
1244;DA181897;0;LP_T9;TE03_01;5;
1245;TN749971;1;LP_T9;TE03_01;6;
1246;MG848757;0;LP_T9;TE03_01;4;
1248;SM631877;0;LP_T9;TE03_01;3;
1249;TP544386;1;LP_T9;TE03_01;4;
1250;GA326557;1;LP_T9;TE03_01;5;
1251;VX588246;1;LP_T9;TE03_01;3;
1252;YR389785;1;LP_T9;TE03_01;4;
1253;WC754144;1;LP_T9;TE03_01;6;
1254;HS785464;0;LP_T9;TE03_01;5;
1255;AH561571;0;LP_T9;TE03_01;5;
1256;TB885956;1;LP_T9;TE03_01;6;
1257;NM384333;0;LP_T9;TE03_01;5;
1258;ME363698;1;LP_T9;TE03_01;4;
1259;CF824211;1;LP_T9;TE03_01;4;
1260;RV452633;0;LP_T9;TE03_01;3;
1261;SE522452;0;LP_T9;TE03_01;6;
1262;RT652696;0;LP_T9;TE03_01;4;
1263;LW441239;1;LP_T9;TE03_01;4;
1264;XZ767591;1;LP_T9;TE03_01;6;
1265;NV651396;1;LP_T9;TE03_01;6;
1266;GK826951;0;LP_T9;TE03_01;5;
1267;XN198271;1;LP_T9;TE03_01;5;
1268;YF233344;0;LP_T9;TE03_01;2;
1269;PH647245;0;LP_T9;TE03_01;6;
1270;XA855886;1;LP_T9;TE03_01;6;
1271;WN633269;1;LP_T9;TE03_01;5;
1272;SN429438;0;LP_T9;TE03_01;6;
1273;SR175276;1;LP_T9;TE03_01;4;
1274;MD787544;1;LP_T9;TE03_01;5;
1275;XK242279;0;LP_T9;TE03_01;6;
1276;VK722412;0;LP_T9;TE03_01;6;
1277;AT973973;1;LP_T9;TE03_01;4;
1278;CV988215;1;LP_T9;TE03_01;6;
1279;PY378998;1;LP_T9;TE03_01;5;
1281;FF171956;1;LP_T9;TE03_01;6;
1282;GZ249864;0;LP_T9;TE03_01;4;
1283;PW785611;0;LP_T9;TE03_01;2;
1284;WR312764;1;LP_T9;TE03_01;4;
1017;LP893358;0;LP_T8;TE03_01;6;
