CASE;SERIAL;QUESTNNR;Wochen;Tage;STARTED;LZ02_01;LZ03_01;LZ04_01;ZE02_01;ZE03_01;PL01_01;PL02_01;SM02_01;SM02_02;SM02_03;SE01_03;TE_Bel_1;TE_Bel_2;TE_Bel_3;TE_Bel_4;TE_Bel_5;TE_Bel_6;TE03_01;TE04_01;TE05_01;TE06_01;TE07_01;TE08_01;TE09_01;TE10_01;TE11_01;TE12_01;TE13_01;TE14_01;TE15_01;TE16;TE17_01;TIME001;TIME002;TIME003;TIME004;TIME006;TIME007;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME_SUM;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
1564;HD353817;TA;1;1;11.01.2021 07:02;"-hochgeladene Videos der Professoren bearbeiten (Entwicklungspsychologie, Sonderpädagogik)
";6;2;0h;3h;5;Erst Entwicklungspsychologie bearbeiten, danach Sonderpädagogik;3;3;3;6;4;1;4;3;1;2;6;0h;Knapp über 3h;4;1;4;3;5;4;-1;Mehr Motivation ;4;4;1;6;24120;111;24;81;;22;8;14;6;;10;57;69;31;37;56;3;510;1;19;19;0;0;0.35;0
1565;EE558756;TA;1;1;11.01.2021 07:23;"Heutigen Vorlesungen anschauen 
Für diese Vorlesungen Zusammenfassungen schreiben
Für die Klausur Forschungsmethoden lernen ";5;4;2  Stunden ;4h;6;"7:30 - 10:00 Entwpsy
10:15 - 12:30 EW
13:00 - 14:00 Statistik 
15:00 - 17:00 Forschungsmethoden 
17:00 - 18:30 Entwpsy";4;5;5;5;5;2;1;2;1;1;6;2h;4h30min;6;1;5;5;6;5;6;Zusammenfassungen schreiben;6;6;1;6;69;103;;264;;15;7;10;33;36504;12;26;83;37;49;53;4;669;1;19;19;0;0;0.33;0
1566;CU525786;TA;1;1;11.01.2021 07:40;Heute möchte ich den restlichen Stoff für eine Klausur lernen. ;6;4;5h 30min;1h 30min;6;#NAME?;4;3;5;6;2;4;2;1;1;1;6;4h;1h;6;1;4;5;5;4;6;"- 2 Vorlesungen beenden 
- lernen";4;4;1;5;7110;1466;;170;;17;8;8;23;;14714;47;116;30;60;217;5;436;1;19;19;0;0;0.24;0
1567;KV214531;TA;1;1;11.01.2021 07:50;"1. Text fürs Seminar Grundbegriffe der EW lesen und Fragen beantworten 
2. Vorlesung 10 in E- Psycho anschauen und zusammenfassen 
3. sensumotorische und prä- operationale Stadium von Piaget lernen 
4. 1. Vorlesung von Einführung in EW lernen 
5. 9. Vorlesung von E-Psycho zusammenfassen ";4;5;01:30;6;5;"- Bis 9: Text Wilkens lesen und Fragen beantworten 
- bis 10: 10. E-Psycho- Vorlesung anschauen 
Nachmittags: 
- 10. Vorlesung zu Ende schauen: zusammenfassen
-Piaget lernen
- Einführung in EW lernen 
- 9. Vorlesung zusammenfassen 
";5;4;1;6;6;2;1;2;1;1;4;01:20;5;5;4;4;5;4;5;-1;Unbedingt lernen: Lüders und Karteikarten ;5;5;1;2;10;210;;233;;25;;10;145;43261;9;34;88;63;71;113;4;630;1;19;19;0;0;0.27;0
1569;SW218242;TA;1;1;11.01.2021 07:51;#NAME?;5;1;0;3h;3;"Ihn zu schaffen 
- bis 16 Uhr fertig zusein
";5;3;5;5;3;1;1;1;1;1;4;0;5;5;4;5;5;5;4;5;Alle Vorlesungen studieren und Text lesen, Klausurinhalte anschauen ;2;2;1;5;141;151;13;231;19;17;;11;22;32152;41;19;56;33;81;103;7;648;1;19;19;0;0;0.27;0
1572;XV615413;TA;1;1;11.01.2021 08:07;alle planmäßigen Vorlesungen angucken, nacharbeiten;6;3;6h;1h;6;"8:00-14:00 Uhr Vorlesung
14:00-16:00 Uhr Selbststudium (nacharbeiten)
16:00-18:00 Uhr Vorlesung";3;4;4;6;3;5;1;3;1;1;6;6h;1h;6;1;5;5;5;2;6;Genauso vorgehen wie heute.;3;6;1;5;26;80;;140;;89;12;15;25;31096;35;41;65;68;53;64;5;550;1;19;19;0;0;0.25;0
1573;GD335178;TA;1;1;11.01.2021 08:08;"- Aufgaben des interaktiven Lernraums erledigen und abschicken
- zwei Vorlesungen ""Entwicklungspsychologie der Kindheit"" lernen
- bereits gelernte Vorlesungen nochmal durchgehen";5;5;0h 0min;10h 15min;5;"1.) erste Vorlesung (ca. 1h 45 min)
2.) interaktives Lernmodul (ca. 3h)
3.) letzte Vorlesung und Aufgaben (1h 30min)


gelernte Vorlesungen nochmal durchgehen (ca. 2h)
zwei neue Vorlesungen lernen (ca. 2h)";4;4;4;4;1;6;3;1;2;1;5;0h 0min;10h 30min;4;1;5;5;5;5;5;Ich möchte versuchen, etwas schneller zu arbeiten und nicht so viel Zeit in unwichtigere/ kleinere Aufgaben zu investieren.;5;5;1;6;8;157;8;539;;46;11;29;169;36267;5;53;64;52;76;118;4;582;1;19;19;0;0;0.25;0
1574;NB497633;TA;1;1;11.01.2021 08:09;"- Text für Erziehungswissenschaften durcharbeiten + Fragen beantworten
- Vorlesung Forschungsmethoden
- Lernzettel zu ""Feldstudien"" fertig machen";6;5;0;7h;4;"- alles ordentlich und gewissenhaft machen, wenn eine Aufgabe dann länger brsucht als geplant ist das nicht schlimm
- erst Lernzettel für Forschungsmethoden zuende machen, dann Forschungsmethoden Vorlesung und am Ende Text für EW bearbeiten -> erst die kurzen Aufgaben um sicherzustellen dass ich die heute wirklich schaffe und nicht zu lange an dem Text für EW bin
- 8:35 - 9:00Uhr Lernzettel Forschungsmethoden
- 9:05 - 9:45Uhr VL Forschungsmthoden
- 10:30Uhr - 13Uhr Text EW";5;6;5;6;6;1;1;3;1;3;6;0;4h 15min;5;1;6;6;6;6;-1;Ich arbeite strukturiert und setze mir Zeitvorgaben, die ich einhalte. Das hilft mir mich zu motivieren und konsequent zu arbeiten.;6;6;1;6;12;180;14;303;15;14;;5;31;29669;6;17;45;29;39;106;4;767;1;19;19;0;0;0.38;0
1575;LH578194;TA;1;1;11.01.2021 08:09;Klausur-Vorbereitung;5;4;3 Stunden 30 Minuten;5 Stunden;6;Sport, Präsenz, Bib, Sebststudium;5;5;3;5;4;4;2;3;1;1;6;3 Stunden 30 Minuten ;5 Stunden;6;1;4;5;5;5;6;Präzenzstudium, selbststudium, Klausr-Vorbereitung;5;5;1;5;5;48;;155;;21;;6;17;29027;6;24;47;26;48;73;4;466;1;19;19;0;0;0.47;0
1576;FX545495;TA;1;1;11.01.2021 08:10;Alle Vorlesungen die ich heute habe anschauen und durcharbeiten. Mein Statistik Tutorium verstehen, um nicht hängen zu bleiben. Zudem mir die Vorlesungen von Entwicklungspsychologie anschauen, um mir die zurückliegenden Themen wieder ins Gedächtnis zu rufen.;6;4;1h 30;4h;4;Zuerst das Statistik Tutorium 1h30, wichtig (online). Dann an die zwei anderen Vorlesungen setzen, die Aufgaben bzw. wichtige Dinge aufschreiben. Essen, vielleicht Sport machen oder Spazieren gehen. Danach Wiederholen der Vorlesungen für die Klausur Entwicklungspsychologie, Puffer falls ich das nicht schaffe, mache ich das morgen. Da hab ich nur eine Vorlesung;2;2;3;5;1;1;1;1;1;1;6;1h30;circa 4h 30min;4;3;6;5;5;5;5;genauso motiviert und produktiv zu arbeiten. Die Arbeit die ich nur teilweise gemacht habe und somit aufgeschoben habe morgen zu erledigen!;5;4;1;6;11;156;;295;23;16;5;9;56;33028;15;22;69;47;55;89;4;798;1;19;19;0;0;0.31;0
