SERIAL;GROUP
CU525786;1
YU796257;1
NB497633;1
FL283383;1
KV214531;1
YU828535;1
CV988215;1
AA223798;1
CZ836922;1
VY624531;1
YW953985;1
ZB751912;1
VZ398246;1
AE814737;1
NK367231;1
TN749971;1
XK292543;1
XN198271;1
ZH885668;1
ZK268291;1
NV651396;1
DA554611;1
ME363698;1
TG784124;1
KZ379721;1
AM174165;1
WR312764;1
WC754144;1
ZM874366;1
KZ697134;1
PA298545;1
WG879246;1
FX545495;1
TC633551;1
XP544262;1
ZR769966;1
DU868473;1
AN458214;1
AP844344;1
GA326557;1
TC332594;1
GD335178;1
DZ883544;1
LE844374;1
EC159212;1
ZT295959;1
VU521743;1
EE558756;1
ZV438183;1
TB885956;1
GF886775;1
EK319924;1
SS198481;1
AS379672;1
GR441237;1
PK497634;1
EL742586;1
AT973973;1
XV615413;1
PV314677;1
XV917984;1
XZ767591;1
LH578194;1
AY454349;1
YA272536;1
VN755488;1
VW467739;1
BA355797;1
EV527269;1
YC186467;1
PY378998;1
YE632525;1
YL695788;1
VX588246;1
LQ366462;1
LW441239;1
HA634253;1
FF171956;1
BF819292;1
PY946565;1
WN633269;1
HD353817;1
BG864843;1
FK136917;1
VR815563;1
TP544386;1
SW218242;1
TR295837;1
XA855886;1
SR175276;1
QR394599;1
HV926523;1
ME637726;1
MD787544;1
RA581334;1
CF824211;1
KN387826;1
YR389785;1
ME862665;0
UL113513;0
MG848757;0
XB482288;0
NK144173;0
UX896743;0
SM631877;0
DA181897;0
XG496891;0
XK242279;0
SE522452;0
NM384333;0
AH561571;0
AK891341;0
UX157641;0
NV617537;0
SE762113;0
RH615392;0
KY245171;0
KZ623294;0
SP553518;0
RQ233693;0
FL569837;0
DC443849;0
FT477874;0
DM159531;0
LB318186;0
ZQ698393;0
DT637117;0
FY246884;0
PH647245;0
PK111235;0
AN652227;0
ZS233786;0
RV452633;0
AS223792;0
LC333483;0
ZT573312;0
UT655437;0
GK718459;0
GK826951;0
PN821564;0
XS659581;0
AT424766;0
LF961829;0
AW495873;0
PQ466859;0
VC376826;0
GS366714;0
XY216464;0
XY662821;0
UB531682;0
ZV859523;0
AZ588774;0
EP831244;0
PW785611;0
LP893358;0
PY333941;0
RW164757;0
ZX875265;0
ZY248153;0
ET745775;0
FE929218;0
YC888437;0
GZ249864;0
YF233344;0
BC191415;0
UR157297;0
ZZ446528;0
YM644361;0
VK722412;0
FH839757;0
PZ846199;0
UY881832;0
BS791494;0
SN429438;0
QF853686;0
HQ159989;0
BV722553;0
RT652696;0
HS785464;0
QT273771;0
MB259846;0
BX289155;0
FL248294;0
YN129325;0
ZZ647195;0
KK624795;0
VB488197;0
