SERIAL;Feedback;Achtsamkeit;FinishT1;FinishT2;Finish18;Anzahl_LP_vollstaendig;Anzahl_LP_abends
ZZ647195;0;1;0;0;0;0;0
ZZ446528;0;1;0;0;0;0;0
ZY248153;0;1;0;0;0;0;0
ZX875265;0;1;1;0;0;0;0
ZV859523;0;1;0;0;0;0;0
ZV438183;1;0;1;1;1;25;1
ZT573312;0;1;1;1;1;28;0
ZT295959;1;0;0;0;0;28;0
ZS233786;0;1;0;0;0;0;0
ZR769966;1;0;1;1;0;12;5
ZQ698393;0;1;0;0;0;0;0
ZM874366;1;0;0;1;1;22;0
ZK268291;1;0;0;0;0;0;0
ZH885668;1;0;0;0;0;0;0
ZB751912;1;0;0;0;0;1;0
YW953985;1;0;1;1;1;23;8
YU828535;1;0;0;0;0;0;0
YU796257;1;0;0;0;0;0;0
YR389785;1;0;1;1;1;23;1
YN129325;0;1;1;1;1;33;1
YM644361;0;1;1;1;1;34;0
YL695788;1;0;1;1;1;35;0
YF233344;0;1;1;1;1;22;2
YE632525;1;0;1;1;1;33;0
YC888437;0;1;1;1;1;29;0
YC186467;1;0;1;1;1;28;2
YA272536;1;0;1;1;1;27;3
XZ767591;1;0;1;1;1;34;1
XY662821;0;1;1;1;1;35;0
XY216464;0;1;1;1;1;33;0
XV917984;1;0;1;1;1;32;0
XV615413;1;0;1;1;1;34;0
XS659581;0;1;1;1;1;35;0
XP544262;1;0;1;1;1;29;0
XN198271;1;0;1;1;1;19;5
XK292543;1;0;1;1;1;30;1
XK242279;0;1;1;1;1;21;1
XG496891;0;1;1;1;1;28;1
XB482288;0;1;1;1;1;31;0
XA855886;1;0;1;1;1;30;3
WR312764;1;0;1;1;1;32;1
WN633269;1;0;1;1;1;28;2
WG879246;1;0;1;1;1;28;1
WC754144;1;0;1;1;1;27;0
VZ398246;1;0;1;1;1;30;2
VY624531;1;0;1;1;1;34;0
VX588246;1;0;1;1;1;34;0
VW467739;1;0;1;1;0;10;0
VU521743;1;0;1;1;1;21;0
VR815563;1;0;1;1;1;32;0
VN755488;1;0;1;1;1;34;0
VK722412;0;1;1;1;1;26;3
VC376826;0;1;1;1;1;23;0
VB488197;0;1;1;1;1;25;1
UY881832;0;1;1;1;1;27;3
UX896743;0;1;1;1;1;22;0
UX157641;0;1;1;1;0;17;1
UT655437;0;1;1;1;0;15;3
UR157297;0;1;1;1;1;34;1
UL113513;0;1;1;1;1;20;0
UB531682;0;1;1;1;1;24;2
TR295837;1;0;1;1;0;1;0
TP544386;1;0;1;1;1;34;0
TN749971;1;0;1;1;1;21;6
TG784124;1;0;1;1;1;22;5
TC633551;1;0;1;1;1;21;1
TC332594;1;0;1;1;1;26;1
TB885956;1;0;1;1;1;31;0
SW218242;1;0;1;1;1;34;0
SS198481;1;0;1;1;1;23;1
SR175276;1;0;1;1;1;34;0
SP553518;0;1;1;1;1;29;0
SN429438;0;1;1;1;1;32;0
SM631877;0;1;1;1;1;32;1
SE762113;0;1;1;1;1;31;0
SE522452;0;1;1;1;1;23;0
RW164757;0;1;1;1;1;34;1
RV452633;0;1;1;1;1;24;2
RT652696;0;1;1;1;1;30;2
RQ233693;0;1;1;1;1;34;0
RH615392;0;1;1;1;1;32;1
RA581334;1;0;1;1;1;20;0
QT273771;0;1;1;1;1;32;0
QR394599;1;0;1;1;1;30;0
QF853686;0;1;1;1;0;12;0
PZ846199;0;1;1;1;1;27;1
PY946565;1;0;1;1;1;35;0
PY378998;1;0;1;1;1;21;2
PY333941;0;1;1;1;1;35;0
PW785611;0;1;1;1;1;31;1
PV314677;1;0;1;1;0;13;2
PQ466859;0;1;1;1;1;28;0
PN821564;0;1;1;1;1;31;0
PK497634;1;0;1;1;1;30;0
PK111235;0;1;1;1;1;26;0
PH647245;0;1;1;1;1;29;0
PA298545;1;0;1;1;1;31;0
NV651396;1;0;1;1;1;20;3
NV617537;0;1;1;1;1;28;0
NM384333;0;1;1;1;1;18;3
NK367231;1;0;1;1;1;31;1
NK144173;0;1;1;1;1;32;0
NB497633;1;0;1;1;1;33;0
MG848757;0;1;1;1;1;26;0
ME862665;0;1;1;1;1;25;0
ME637726;1;0;1;1;1;19;0
ME363698;1;0;1;1;1;24;3
MD787544;1;0;1;1;1;32;1
MB259846;0;1;1;1;1;34;0
LW441239;1;0;1;1;1;30;0
LQ366462;1;0;1;1;1;29;0
LP893358;0;1;1;1;1;22;0
LH578194;1;0;1;1;1;33;0
LF961829;0;1;1;1;1;23;1
LE844374;1;0;1;1;0;16;6
LC333483;0;1;1;1;1;35;0
LB318186;0;1;1;1;1;33;0
KZ697134;1;0;1;1;0;15;2
KZ623294;0;1;1;1;1;25;0
KZ379721;1;0;1;1;1;33;0
KY245171;0;1;1;1;0;9;0
KV214531;1;0;1;1;1;23;0
KN387826;1;0;1;1;0;12;3
KK624795;0;1;1;1;0;8;0
HV926523;1;0;1;1;0;11;2
HS785464;0;1;1;1;1;30;2
HQ159989;0;1;1;1;1;34;1
HD353817;1;0;1;1;1;29;1
HA634253;1;0;1;1;1;23;3
GZ249864;0;1;1;1;1;32;2
GS366714;0;1;1;1;0;17;3
