SERIAL;gmc_GOALt1;gmc_PLANt1;gmc_PROt1;gmc_MOTt1;gmc_VOLt1;gmc_SEt1
AA223798;-0,342281879;-1,744444444;-1,472674976;-2,624444444;0,49;-1,096196868
AE814737;1,657718121;2,922222222;-1,758389262;0,042222222;1,24;-0,651752424
AH561571;-0,592281879;1,255555556;-0,044103547;-1,624444444;-0,76;-1,429530201
AK891341;-0,342281879;-1,744444444;1,81303931;-0,957777778;-0,51;-0,429530201
AN458214;0,657718121;-0,744444444;0,81303931;1,375555556;0,49;0,570469799
AN652227;-1,592281879;-1,744444444;0,527325024;-0,624444444;-1,51;-0,540641312
AP844344;0,157718121;1,255555556;0,81303931;-0,624444444;-0,51;-0,651752424
AT424766;0,157718121;-1,744444444;2,098753595;1,708888889;-1,01;-0,207307979
AT973973;0,157718121;0,922222222;0,098753595;-0,624444444;-0,51;0,237136465
AW495873;1,407718121;-1,411111111;2,241610738;-1,291111111;-1,26;-0,31841909
AY454349;-1,592281879;-1,744444444;2,098753595;-1,957777778;-0,76;-0,096196868
AZ588774;-0,092281879;1,255555556;1,527325024;-0,624444444;-0,51;-0,31841909
BA355797;-0,092281879;-0,744444444;-0,758389262;1,042222222;-0,01;-0,31841909
BC191415;0,407718121;2,588888889;-1,615532119;0,375555556;0,49;-0,762863535
BF819292;0,657718121;-0,411111111;1,384467881;0,708888889;0,49;-0,096196868
BG864843;-0,842281879;-0,077777778;-1,758389262;2,375555556;0,99;-0,540641312
BS791494;-1,342281879;0,255555556;-1,758389262;-0,957777778;-0,26;-0,207307979
BV722553;-1,592281879;-0,411111111;1,955896453;-1,957777778;-0,76;-0,540641312
BX289155;-1,342281879;-1,744444444;1,81303931;-0,957777778;-1,01;0,237136465
CF824211;0,157718121;0,255555556;-0,615532119;0,375555556;0,49;0,126025354
CU525786;0,407718121;3,255555556;-1,901246405;-1,624444444;0,24;0,348247576
CV988215;1,407718121;2,588888889;-2,18696069;2,042222222;0,99;0,570469799
CZ836922;-0,842281879;-0,077777778;-0,18696069;1,042222222;-0,76;-0,540641312
DA181897;-1,092281879;-0,744444444;1,241610738;2,042222222;0,24;-0,31841909
DC443849;-0,842281879;-1,411111111;-0,472674976;0,042222222;-0,51;-0,096196868
DM159531;0,157718121;-1,077777778;-1,615532119;0,375555556;-0,76;0,348247576
DT637117;-0,592281879;2,255555556;-1,758389262;-0,957777778;-1,01;-0,762863535
DU868473;-0,342281879;-0,077777778;-2,044103547;-0,291111111;0,49;0,792692021
DZ883544;0,907718121;2,255555556;-0,329817833;1,708888889;-0,76;-0,096196868
EC159212;-0,092281879;-1,744444444;0,527325024;-0,957777778;1,24;1,237136465
EE558756;-0,092281879;0,255555556;0,098753595;1,708888889;1,49;0,792692021
EK319924;0,657718121;2,255555556;-0,758389262;1,375555556;0,24;0,348247576
